,CustomerID,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore
0,13094.0,21,16,1708.86,A,A,A,AAA
1,13956.0,5,5,1026.42,A,A,A,AAA
2,15311.0,0,118,59419.34,A,A,A,AAA
3,16353.0,3,23,6675.71,A,A,A,AAA
4,15750.0,2,9,2451.23,A,A,A,AAA
5,17659.0,3,14,2954.75,A,A,A,AAA
6,15898.0,1,6,1384.68,A,A,A,AAA
7,18210.0,1,6,2621.38,A,A,A,AAA
8,13458.0,7,22,9537.92,A,A,A,AAA
9,17063.0,8,11,1421.59,A,A,A,AAA
10,17675.0,1,41,20098.1,A,A,A,AAA
11,15953.0,15,10,1634.53,A,A,A,AAA
12,15950.0,1,5,1705.26,A,A,A,AAA
13,12775.0,17,6,1351.24,A,A,A,AAA
14,15910.0,0,8,1232.18,A,A,A,AAA
15,14640.0,15,8,2042.15,A,A,A,AAA
16,12856.0,7,8,2162.68,A,A,A,AAA
17,13435.0,5,9,3794.49,A,A,A,AAA
18,17811.0,4,51,7677.71,A,A,A,AAA
19,13719.0,15,5,1041.68,A,A,A,AAA
20,15498.0,0,35,12396.46,A,A,A,AAA
21,16265.0,9,11,5423.15,A,A,A,AAA
22,16818.0,10,13,3317.97,A,A,A,AAA
23,15622.0,3,16,3224.53,A,A,A,AAA
24,17562.0,14,8,1107.38,A,A,A,AAA
25,16746.0,4,19,6694.31,A,A,A,AAA
26,16271.0,2,6,1423.29,A,A,A,AAA
27,16945.0,21,19,4345.5,A,A,A,AAA
28,15253.0,16,6,915.3,A,A,A,AAA
29,12471.0,2,49,18740.92,A,A,A,AAA
30,16985.0,17,11,5461.62,A,A,A,AAA
31,18077.0,8,11,2633.01,A,A,A,AAA
32,12583.0,2,18,7187.34,A,A,A,AAA
33,18167.0,3,6,1355.51,A,A,A,AAA
34,12700.0,7,6,4867.99,A,A,A,AAA
35,12562.0,8,7,3781.74,A,A,A,AAA
36,16201.0,3,5,1821.52,A,A,A,AAA
37,18092.0,2,12,9065.76,A,A,A,AAA
38,12437.0,1,19,4896.66,A,A,A,AAA
39,14282.0,3,15,3729.34,A,A,A,AAA
40,13026.0,1,8,936.15,A,A,A,AAA
41,17949.0,1,52,52750.84,A,A,A,AAA
42,14060.0,4,20,6135.38,A,A,A,AAA
43,16365.0,17,9,1540.42,A,A,A,AAA
44,13949.0,2,6,2427.32,A,A,A,AAA
45,16814.0,14,22,6500.6,A,A,A,AAA
46,13995.0,15,6,1383.49,A,A,A,AAA
47,13081.0,1,21,27964.48,A,A,A,AAA
48,16779.0,2,28,10454.05,A,A,A,AAA
49,13808.0,5,5,1747.66,A,A,A,AAA
50,17856.0,1,6,1393.79,A,A,A,AAA
51,14397.0,0,23,2556.68,A,A,A,AAA
52,17870.0,2,13,1889.4,A,A,A,AAA
53,18219.0,2,11,2019.77,A,A,A,AAA
54,13183.0,7,9,3957.78,A,A,A,AAA
55,18180.0,4,6,1843.75,A,A,A,AAA
56,16033.0,5,27,8727.61,A,A,A,AAA
57,16156.0,8,13,3024.62,A,A,A,AAA
58,17218.0,4,10,1960.72,A,A,A,AAA
59,13089.0,2,118,57385.88,A,A,A,AAA
60,14121.0,3,6,2740.3,A,A,A,AAA
61,12657.0,11,5,1152.06,A,A,A,AAA
62,15671.0,18,10,2635.49,A,A,A,AAA
63,14655.0,3,5,1930.15,A,A,A,AAA
64,17686.0,7,7,5739.46,A,A,A,AAA
65,17858.0,5,12,5155.66,A,A,A,AAA
66,14493.0,7,7,2362.84,A,A,A,AAA
67,13767.0,2,52,16945.71,A,A,A,AAA
68,12380.0,21,5,2720.56,A,A,A,AAA
69,14297.0,17,6,1284.06,A,A,A,AAA
70,13890.0,1,14,1860.86,A,A,A,AAA
71,15615.0,10,27,10360.04,A,A,A,AAA
72,16241.0,9,13,2607.87,A,A,A,AAA
73,13048.0,14,5,1805.91,A,A,A,AAA
74,17469.0,16,6,1843.06,A,A,A,AAA
75,14735.0,3,34,5807.69,A,A,A,AAA
76,16682.0,4,5,1028.0,A,A,A,AAA
77,15745.0,8,6,1071.24,A,A,A,AAA
78,12536.0,7,5,4106.82,A,A,A,AAA
79,14878.0,12,9,1485.54,A,A,A,AAA
80,12952.0,5,5,1382.84,A,A,A,AAA
81,16607.0,17,16,3038.67,A,A,A,AAA
82,16701.0,8,18,5150.27,A,A,A,AAA
83,15434.0,8,6,997.48,A,A,A,AAA
84,14146.0,8,6,2949.57,A,A,A,AAA
85,15861.0,12,9,3000.36,A,A,A,AAA
